,序号,板块,涨跌幅(%),总成交量（万手）,总成交额（亿元）,净流入（亿元）,上涨家数,下跌家数,均价,领涨股,最新价,涨跌幅(%).1
0,1,园区开发,1.89,271.86,27.5,1.08,8,1,10.12,市北高新,7.46,5.67
1,2,化工新材料,1.62,158.89,25.45,-0.4,10,3,16.02,红宝丽,4.18,7.46
2,3,饮料制造,1.52,356.0,122.46,7.76,37,6,34.4,水井坊,35.42,9.25
3,4,养殖业,1.45,454.68,36.83,1.2,18,3,8.1,新五丰,5.26,10.04
4,5,港口航运,1.39,629.88,28.41,1.88,23,7,4.51,南京港,8.97,10.06
5,6,光学光电子,1.31,6073.64,283.37,-29.32,30,32,4.67,锦富技术,4.15,10.08
6,7,电气设备,1.28,3165.77,259.41,4.56,119,63,8.19,安彩高科,4.8,10.09
7,8,物流,1.08,388.11,30.11,1.96,26,13,7.76,顺丰控股,34.98,5.9
8,9,交运设备服务,1.08,286.66,13.42,0.1,8,3,4.68,多伦科技,6.5,4.84
9,10,化工合成材料,1.07,722.84,53.3,0.75,45,23,7.37,东材科技,5.13,10.09
10,11,白色家电,0.89,551.79,70.42,3.01,27,20,12.76,日出东方,4.31,9.95
11,12,传媒,0.87,1861.04,122.36,0.85,84,38,6.58,开元股份,7.92,10.0
12,13,通信服务,0.83,668.58,43.0,-2.31,19,10,6.43,人民网,10.21,8.5
13,14,电子制造,0.81,1320.06,152.49,-5.93,35,24,11.55,领益智造,3.84,10.03
14,15,非汽车交运,0.81,155.91,11.33,-0.58,9,7,7.27,华铁股份,4.47,3.95
15,16,通用设备,0.79,1117.34,89.9,-5.23,76,46,8.05,宁波东力,3.37,10.13
16,17,仪器仪表,0.74,169.99,19.25,-1.1,20,10,11.33,香山股份,19.73,9.98
17,18,食品加工制造,0.72,341.75,52.06,1.52,30,16,15.23,新乳业,17.8,5.7
18,19,燃气水务,0.71,381.83,25.2,-0.19,27,8,6.6,新疆浩源,9.55,4.14
19,20,纺织制造,0.71,193.33,11.31,-0.71,22,8,5.85,上海三毛,9.85,10.06
20,21,种植业与林业,0.69,265.45,14.34,0.58,17,3,5.4,丰乐种业,5.36,3.08
21,22,景点及旅游,0.66,118.88,17.63,0.92,16,6,14.83,中青旅,14.4,3.67
22,23,其他电子,0.61,439.14,49.04,-0.57,21,11,11.17,贤丰控股,4.4,6.54
23,24,生物制品,0.61,383.41,51.99,0.15,24,13,13.56,四环生物,3.84,10.03
24,25,计算机设备,0.58,456.76,50.87,-1.47,24,17,11.14,神思电子,14.66,9.98
25,26,专用设备,0.58,1224.67,91.03,-1.33,88,51,7.43,远大智能,3.82,10.09
26,27,公交,0.56,37.73,3.3,-0.02,7,0,8.75,宜昌交运,6.59,1.23
27,28,医疗器械服务,0.55,327.92,61.74,-1.44,36,32,18.83,康龙化成,23.63,10.01
28,29,化学制品,0.53,1584.03,158.58,-9.5,97,76,10.01,康达新材,12.61,10.04
29,30,新材料,0.52,518.49,47.63,-1.55,19,15,9.19,合盛硅业,52.16,4.05
30,31,综合,0.52,324.55,15.23,-1.32,12,9,4.69,鲁银投资,5.11,6.46
31,32,环保工程,0.51,609.24,36.21,-2.71,25,19,5.94,隆华科技,5.34,10.1
32,33,农产品加工,0.48,316.88,22.75,0.03,18,14,7.18,朗源股份,4.48,5.41
33,34,采掘服务,0.46,112.37,6.26,-0.04,10,4,5.57,恒泰艾普,4.22,1.69
34,35,医药商业,0.45,151.11,16.68,-0.26,15,7,11.04,益丰药房,49.75,3.11
35,36,包装印刷,0.45,429.06,33.32,-1.47,15,14,7.77,华源控股,7.35,5.0
36,37,房地产开发,0.41,1615.3,109.07,-6.51,61,44,6.75,ST新光,2.64,5.18
37,38,建筑装饰,0.41,1424.03,100.0,-7.31,52,60,7.02,百利科技,16.93,10.01
38,39,造纸,0.4,272.37,14.39,-1.37,9,9,5.28,集友股份,26.37,6.07
39,40,中药,0.4,605.6,63.81,-0.06,34,30,10.54,康美药业,8.37,9.99
40,41,计算机应用,0.39,1653.33,201.72,-8.49,86,68,12.2,数字认证,26.74,10.0
41,42,家用轻工,0.38,479.64,41.94,-1.41,40,22,8.74,老凤祥,44.29,4.95
42,43,保险及其他,0.36,545.86,75.2,-4.21,16,13,13.78,鲁信创投,18.0,9.89
43,44,化学制药,0.36,705.67,76.87,-1.61,45,43,10.89,莎普爱思,7.01,8.35
44,45,服装家纺,0.35,271.35,20.8,-1.24,24,25,7.66,步森股份,13.17,8.57
45,46,钢铁,0.33,1084.36,50.32,-3.38,11,17,4.64,永兴特钢,14.5,10.02
46,47,贸易,0.29,197.66,13.5,-0.9,16,6,6.83,汇鸿集团,4.14,1.72
47,48,建筑材料,0.26,690.22,60.16,-4.59,30,32,8.72,罗普斯金,5.59,7.09
48,49,零售,0.25,598.99,48.39,-0.62,31,33,8.08,武汉中商,10.83,5.87
49,50,酒店及餐饮,0.24,39.49,3.95,0.05,4,4,10.0,首旅酒店,17.12,2.21
