,序号,板块,涨跌幅(%),总成交量（万手）,总成交额（亿元）,净流入（亿元）,上涨家数,下跌家数,均价,领涨股,最新价,涨跌幅(%).1
0,1,养殖业,4.65,805.69,68.49,3.69,21,0,8.5,雏鹰农牧,1.94,10.23
1,2,农产品加工,2.21,540.11,37.72,4.41,21,12,6.98,天康生物,6.66,10.08
2,3,种植业与林业,2.01,438.9,22.73,2.53,19,1,5.18,平潭发展,3.58,10.15
3,4,光学光电子,1.28,4960.84,259.35,2.86,36,24,5.23,锦富技术,4.57,10.12
4,5,电力,0.91,1088.44,51.93,-4.07,35,27,4.77,金山股份,2.04,10.27
5,6,仪器仪表,0.85,199.88,19.59,-3.33,15,15,9.8,安控科技,2.94,10.11
6,7,贸易,0.82,213.57,13.72,-0.75,13,12,6.42,远大控股,7.19,9.94
7,8,环保工程,0.65,791.17,47.67,-0.46,31,17,6.03,南华生物,13.86,8.96
8,9,通信服务,0.51,545.47,37.84,-0.6,10,17,6.94,众应互联,8.65,10.05
9,10,农业服务,0.5,52.13,5.0,-0.71,6,2,9.6,金河生物,4.79,1.92
10,11,造纸,0.34,275.66,15.43,-2.17,5,12,5.6,荣晟环保,19.86,10.03
11,12,专用设备,0.31,1253.74,89.01,-10.55,67,77,7.1,金明精机,5.78,10.1
12,13,电子制造,0.26,1431.88,150.0,-22.47,29,29,10.48,恒铭达,43.43,10.01
13,14,酒店及餐饮,0.23,35.88,3.05,0.06,4,3,8.51,*ST云网,3.45,3.29
14,15,计算机设备,0.2,494.65,54.83,-3.01,19,23,11.09,神思电子,16.13,10.03
15,16,生物制品,0.2,459.83,59.55,-4.2,14,22,12.95,四环生物,4.22,9.9
16,17,化工合成材料,0.17,965.49,63.87,-8.65,29,42,6.62,国风塑业,4.52,9.98
17,18,通信设备,0.17,1835.13,238.16,-9.54,46,47,12.98,永鼎股份,5.06,10.0
18,19,建筑装饰,0.14,1643.51,117.61,-10.87,49,68,7.16,新疆交建,31.82,9.99
19,20,采掘服务,0.12,113.07,6.0,0.01,6,7,5.31,中矿资源,15.18,1.88
20,21,服装家纺,0.1,278.47,21.84,-1.25,20,29,7.84,美尔雅,6.75,2.9
21,22,物流,0.08,342.84,27.44,-1.38,19,19,8.0,天顺股份,17.95,4.36
22,23,食品加工制造,0.06,397.58,52.27,-3.54,22,25,13.15,得利斯,4.87,9.93
23,24,通用设备,0.05,1189.44,94.0,-5.32,46,74,7.9,胜利精密,3.05,10.11
24,25,半导体及元件,0.05,1294.87,141.28,-5.26,32,39,10.91,鹏鼎控股,22.03,9.98
25,26,港口航运,0.02,566.91,25.76,-2.73,11,18,4.54,南京港,9.87,10.03
26,27,包装印刷,-0.03,372.73,28.38,-2.48,10,21,7.62,海顺新材,19.34,10.01
27,28,计算机应用,-0.03,1581.22,186.75,-14.9,63,95,11.81,东方通,17.14,10.01
28,29,交运设备服务,-0.06,241.24,10.61,-0.24,4,8,4.4,中国中期,11.05,4.74
29,30,零售,-0.1,598.56,46.72,-5.04,23,47,7.8,武汉中商,11.91,9.97
30,31,新材料,-0.12,474.23,44.77,-3.29,11,23,9.44,阿石创,26.25,3.75
31,32,有色冶炼加工,-0.12,1737.61,123.81,-5.35,25,49,7.12,山东金泰,10.01,6.15
32,33,纺织制造,-0.15,213.12,13.32,-0.73,9,20,6.25,上海三毛,10.37,5.28
33,34,中药,-0.18,702.05,75.08,-5.47,18,46,10.69,康美药业,9.2,9.92
34,35,燃气水务,-0.2,299.84,19.28,-1.81,13,24,6.43,中环环保,12.95,2.86
35,36,国防军工,-0.2,526.64,58.84,-5.96,20,32,11.17,天和防务,10.84,5.55
36,37,公交,-0.21,34.15,3.71,-0.01,2,6,10.86,德新交运,25.57,1.55
37,38,化学制品,-0.21,1559.16,151.5,-14.99,69,110,9.72,兆新股份,3.31,9.97
38,39,医疗器械服务,-0.23,317.88,53.77,-5.57,19,49,16.91,康龙化成,25.99,9.99
39,40,综合,-0.25,325.7,14.54,-1.39,11,12,4.47,福成股份,10.45,1.75
40,41,非汽车交运,-0.29,162.38,11.36,-1.22,9,10,7.0,新日股份,10.17,2.83
41,42,电气设备,-0.31,3008.3,239.86,-14.58,72,115,7.97,万里股份,12.53,10.01
42,43,基础化学,-0.32,623.31,31.77,-2.82,17,29,5.1,*ST南风,3.53,2.92
43,44,化学制药,-0.34,705.64,74.91,-7.73,32,60,10.62,中关村,7.89,5.48
44,45,汽车零部件,-0.38,864.57,76.21,-9.01,42,82,8.81,中鼎股份,10.76,3.46
45,46,其他电子,-0.42,350.1,41.11,-6.73,9,21,11.74,正业科技,20.74,6.74
46,47,传媒,-0.45,1793.69,115.3,-12.12,45,72,6.43,数知科技,10.37,3.91
47,48,建筑材料,-0.5,624.24,58.95,-9.63,17,47,9.44,深天地A,13.64,10.0
48,49,家用轻工,-0.51,425.47,37.33,-5.25,17,48,8.77,高乐股份,3.56,9.88
49,50,房地产开发,-0.52,1686.64,115.38,-20.11,31,82,6.84,华丽家族,3.83,10.06
