,序号,板块,涨跌幅(%),总成交量（万手）,总成交额（亿元）,净流入（亿元）,上涨家数,下跌家数,均价,领涨股,最新价,涨跌幅(%).1
0,1,视听器材,4.83,891.54,34.42,3.55,12,0,3.86,中新科技,9.82,9.97
1,2,光学光电子,4.79,3559.12,196.67,5.57,59,3,5.53,华东科技,1.75,10.06
2,3,证券,4.17,2958.59,271.29,28.02,42,0,9.17,中国银河,8.75,10.06
3,4,半导体及元件,3.98,1508.92,182.7,6.19,72,1,12.11,超华科技,4.69,10.09
4,5,电子制造,3.47,1350.45,167.16,5.6,59,2,12.38,星星科技,3.48,10.13
5,6,其他电子,3.2,413.43,55.19,0.9,31,2,13.35,海洋王,6.14,10.04
6,7,通信设备,3.14,2267.03,304.23,26.98,95,1,13.42,精伦电子,4.13,10.13
7,8,计算机设备,2.72,547.86,65.27,4.85,43,2,11.91,安居宝,5.01,10.11
8,9,通信服务,2.58,900.8,56.02,7.13,30,0,6.22,中国联通,5.87,7.9
9,10,仪器仪表,2.49,171.43,19.35,0.89,30,0,11.29,远方信息,8.11,10.04
10,11,国防军工,2.46,757.02,80.88,8.73,53,0,10.69,航天通信,13.21,7.66
11,12,新材料,2.45,644.6,59.29,3.78,32,2,9.2,阿石创,24.73,10.01
12,13,计算机应用,2.35,2091.3,250.02,23.07,160,4,11.96,三六零,23.06,10.02
13,14,汽车整车,2.34,472.27,44.43,7.8,24,0,9.41,广汽集团,11.39,6.95
14,15,化工新材料,2.28,184.62,31.51,4.04,12,1,17.07,中国巨石,11.26,8.37
15,16,化学制品,2.11,1702.83,168.15,5.01,169,10,9.88,永太科技,8.64,10.06
16,17,保险及其他,2.07,720.84,96.27,10.1,32,0,13.36,安信信托,4.43,4.24
17,18,有色冶炼加工,2.01,2458.98,174.65,18.97,79,5,7.1,宜安科技,8.59,9.99
18,19,化工合成材料,1.88,819.53,56.42,1.03,68,4,6.88,银禧科技,6.0,10.09
19,20,环保工程,1.87,597.38,37.15,2.15,51,0,6.22,神雾节能,5.25,10.06
20,21,酒店及餐饮,1.85,38.8,4.15,0.69,8,0,10.69,首旅酒店,16.75,6.82
21,22,专用设备,1.77,1313.12,94.33,3.55,141,8,7.18,佳力图,16.24,10.03
22,23,通用设备,1.71,1166.05,87.08,1.05,113,8,7.47,智云股份,13.18,10.02
23,24,包装印刷,1.7,434.87,33.91,0.08,29,3,7.8,万顺股份,7.21,10.08
24,25,生物制品,1.63,537.92,66.0,4.35,35,0,12.27,四环生物,3.49,10.1
25,26,基础化学,1.6,880.37,45.16,4.79,48,2,5.13,高科石化,20.48,9.23
26,27,园区开发,1.58,182.89,17.58,0.41,10,0,9.61,空港股份,7.12,2.59
27,28,非汽车交运,1.57,214.51,15.59,0.67,19,1,7.27,众合科技,6.78,2.88
28,29,造纸,1.55,314.26,16.38,0.88,19,1,5.21,美利云,7.84,3.98
29,30,公交,1.54,45.92,4.05,0.38,9,0,8.83,德新交运,25.15,2.11
30,31,汽车零部件,1.54,926.29,81.2,1.53,113,10,8.77,贝斯特,15.3,6.62
31,32,医药商业,1.51,247.3,25.3,2.38,23,2,10.23,益丰药房,48.25,6.91
32,33,采掘服务,1.45,129.68,6.94,0.49,15,0,5.35,仁智股份,3.54,2.61
33,34,银行,1.44,2045.94,146.78,19.39,30,0,7.17,紫金银行,5.41,2.66
34,35,房地产开发,1.41,1916.3,130.95,5.36,109,12,6.83,华丽家族,3.59,10.12
35,36,建筑装饰,1.41,1775.0,123.18,3.99,116,4,6.94,花王股份,8.79,10.01
36,37,种植业与林业,1.4,265.0,14.07,0.75,20,0,5.31,荃银高科,7.36,6.21
37,38,景点及旅游,1.38,121.23,18.01,2.31,22,1,14.86,腾邦国际,8.18,3.15
38,39,电气设备,1.36,3138.19,229.61,1.79,166,26,7.32,新雷能,19.09,10.03
39,40,传媒,1.36,2006.45,131.76,6.6,108,12,6.57,紫光学大,20.16,7.18
40,41,钢铁,1.33,1512.5,67.48,6.0,28,2,4.46,方大特钢,11.89,5.41
41,42,燃气水务,1.28,345.9,22.05,1.9,38,0,6.38,渤海股份,9.52,2.81
42,43,贸易,1.26,210.35,14.3,1.37,26,1,6.8,远大控股,6.64,2.79
43,44,建筑材料,1.25,827.22,70.91,4.05,63,6,8.57,南玻A,4.71,6.32
44,45,零售,1.24,726.31,57.06,0.62,69,6,7.86,三夫户外,14.66,5.01
45,46,家用轻工,1.22,536.06,40.43,0.14,51,14,7.54,尚品宅配,74.27,6.56
46,47,医疗器械服务,1.21,458.01,78.03,-0.95,60,10,17.04,华大基因,67.28,10.01
47,48,综合,1.21,412.25,18.13,1.36,20,4,4.4,中信国安,3.65,3.69
48,49,机场航运,1.17,364.86,29.84,1.3,12,0,8.18,上海机场,52.7,4.09
49,50,物流,1.16,376.35,27.35,0.29,34,6,7.27,澳洋顺昌,4.29,5.41
