,序号,板块,涨跌幅(%),总成交量（万手）,总成交额（亿元）,净流入（亿元）,上涨家数,下跌家数,均价,领涨股,最新价,涨跌幅(%).1
0,51,景点及旅游,-0.57,93.81,14.64,-1.01,6,14,15.61,大连圣亚,27.1,0.63
1,52,医药商业,-0.59,149.0,15.3,-1.61,5,19,10.27,华通医药,7.95,2.05
2,53,保险及其他,-0.59,538.88,80.83,-17.73,7,24,15.0,海德股份,11.59,4.41
3,54,园区开发,-0.77,202.39,20.18,-0.77,2,8,9.97,上海临港,21.95,2.09
4,55,视听器材,-0.79,480.73,19.8,-1.39,2,10,4.12,银河电子,3.56,1.71
5,56,石油矿业开采,-0.86,178.87,8.93,-1.79,1,9,4.99,*ST金岭,4.01,1.78
6,57,钢铁,-0.86,938.77,44.9,-10.95,4,27,4.78,抚顺特钢,3.0,4.89
7,58,公路铁路运输,-0.9,237.41,13.09,-2.03,2,22,5.51,城发环境,7.73,1.84
8,59,煤炭开采加工,-1.02,749.66,34.81,-6.98,4,31,4.64,宝泰隆,5.97,1.88
9,60,饮料制造,-1.02,264.94,83.59,-12.96,8,33,31.55,养元饮品,46.02,3.58
10,61,白色家电,-1.04,557.51,88.33,-19.45,14,31,15.84,融捷健康,3.4,2.1
11,62,机场航运,-1.21,308.85,22.25,-4.91,2,10,7.2,中信海直,6.64,2.31
12,63,化工新材料,-1.22,154.72,27.92,-6.41,3,10,18.05,九鼎新材,6.44,1.1
13,64,汽车整车,-1.25,321.83,38.98,-7.91,4,18,12.11,一汽夏利,3.43,0.88
14,65,证券,-1.29,2045.41,196.07,-29.41,3,37,9.59,财通证券,8.25,1.6
15,66,银行,-1.54,1580.13,113.32,-36.11,0,30,7.17,郑州银行,4.92,-0.41
